system:index,B8A,B9,LAI,MSR2,OSAVI,RDVI,.geo
5_8089,2617.0,2417.0,1.09312105178833,0.14026504760485012,0.10946022345959709,24.62597421216313,
5_8105,2641.0,2242.0,1.0953357219696045,0.1552810314362522,0.12054149332709133,22.05435256844133,
5_8113,2413.0,2184.0,1.1305261850357056,0.1586016999655715,0.1229710390155793,22.232796398107027,
5_8118,2596.0,2282.0,1.120094656944275,0.16217748012259342,0.12558752487297514,22.773428019222354,
5_8126,2691.0,2447.0,1.081486701965332,0.16806173053051182,0.12986910754348138,27.530956917167984,
5_8131,2302.0,2181.0,1.010330319404602,0.18132559510830343,0.13945554285961842,26.70096541833336,
5_8133,2365.0,2097.0,1.015446662902832,0.16097951649461173,0.12471111704026899,20.75106046845296,
5_8142,2609.0,2437.0,1.129831075668335,0.21600772395229167,0.16412471108235466,24.757933194527567,
5_8151,3072.0,2627.0,1.0534497499465942,0.18299185379063931,0.14067510877018571,23.822917423781327,
5_8157,2412.0,2176.0,1.0254751443862915,0.1978710548034468,0.15130778893968155,22.480263160373738,
5_8182,2550.0,2191.0,1.0294443368911743,0.16997943086400316,0.1312683888906851,21.393425320281484,
5_8186,2611.0,2404.0,1.0486327409744263,0.15225791687405535,0.11831478802959627,26.383001636098886,
5_8188,2565.0,2341.0,1.1126823425292969,0.11396190322369211,0.08976477770735064,22.51597377226569,
5_8215,3278.0,2331.0,1.127474308013916,0.308973173603253,0.22722334611480502,22.513469504199538,
5_8228,2663.0,2277.0,1.0275588035583496,0.2432082339279521,0.18303364157773655,23.42395294277836,
5_8229,2676.0,2383.0,1.020809531211853,0.22086295671849593,0.16752270470770778,27.744411753481412,
5_8288,2297.0,2085.0,1.096538782119751,0.16035674514745463,0.12425423792145676,21.04395783422378,
5_8290,2718.0,2316.0,1.1047126054763794,0.1488157790697906,0.11578302449474763,26.00918914618078,
5_8342,2291.0,2073.0,1.0498571395874023,0.15482792939049422,0.120204228040661,21.101894873497933,
5_8354,3056.0,2664.0,1.1334058046340942,0.27576357909573773,0.2051704409287756,28.095780208014798,
